name,student number,gender,age,phone number
艾想,2002034909,男,22,18942950341
王英,2002011735,女,18,14922969744
王春梅,2002049120,男,19,15237270889
冯秀芳,2002057058,男,22,17883088688
陈玉兰,2002029792,女,22,14992031371
曹琳,2002055042,男,18,17718966140
陈颖,2002066172,男,21,18191795373
郝云,2002033804,男,21,15557574046
郭丹,2002032867,女,22,15052409958
阎文,2002037366,男,19,14969926304
黄洋,2002056032,女,20,15943525297
黎刚,2002091460,男,22,15281346993
胡娟,2002024598,男,22,17724230464
张丽华,2002053551,男,18,15579274177
刘海燕,2002029869,男,18,17095128258
刘秀珍,2002081533,男,22,15639978008
王建国,2002032856,女,20,18665680167
王成,2002053519,女,22,13720437819
任璐,2002037485,男,20,14585597662
陈桂香,2002087790,男,19,15238799054
孙静,2002059413,女,19,13223878658
王雪梅,2002075826,男,21,17783213886
杨丽,2002055048,男,18,15286271036
庄欣,2002015371,男,21,14550069495
王浩,2002087483,女,22,18677245569
董芳,2002029087,女,19,13924798858
刘峰,2002089232,女,19,18717795128
刁欣,2002063684,男,22,17865108256
欧刚,2002036801,男,20,18139833296
江建,2002017208,男,19,18666311474
朱玉英,2002079213,女,19,1 5392112937
朱洋,2002091254,男,20,18610077052
张小红,2002083744,女,18,14787571021
刘艳,2002035091,男,22,15818682731
叶敏,2002020216,女,21,14951844147
陈英,2002022810,女,19,17117251442
赵伟,2002073401,女,19,18554165195
张云,2002059620,女,22,14983760808
曹淑兰,2002069529,女,20,14598050375
李桂花,2002056373,女,20,14788558270
刘俊,2002086098,男,22,13236478272
陈博,2002018210,男,21,17059570772
麻淑兰,2002024510,男,22,18236014250
朱雷,2002079410,女,21,14513180521
白燕,2002028989,女,19,17643907732
吴勇,2002077047,女,21,18753269090
郭琳,2002096353,女,22,18561180089
陈想,2002062079,男,19,13038329958
何秀芳,2002078732,男,19,15983769560
张丹丹,2002031450,女,18,18511480928
张杨,2002036555,男,21,17167837503
罗杨,2002058922,女,19,13554903297
夏红,2002072866,男,18,13424373622
孙岩,2002083085,女,18,17640867662
宋想,2002028145,女,20,15031991213
孙楠,2002021619,女,19,15745738283
陈桂英,2002024467,女,20,15294295153
李丽,2002095123,男,18,18651686989
周洋,2002040349,男,21,17137112156
朱晶,2002034575,女,20,17234355400
胡颖,2002083991,男,21,18692748822
张欢,2002018216,男,21,18074998339
杨桂兰,2002041931,男,21,15635737775
张琳,2002097689,女,21,13685305970
徐静,2002066676,男,21,14544279401
胡杰,2002084375,女,18,14551320893
叶桂兰,2002014865,女,19,15726724209
叶东,2002011296,女,19,18364607317
秦玉,2002013067,女,21,14730480187
李静,2002092879,女,18,13086783046
李晶,2002034421,男,22,18874070195
余凤兰,2002096475,女,19,15930557473
王桂花,2002085971,女,21,13260892468
苏飞,2002020431,男,20,18161254580
庄阳,2002060247,男,19,13756692699
赵东,2002049972,女,22,18612308995
袁杰,2002065238,男,22,13770935967
武鑫,2002074302,男,20,17773065351
王志强,2002037728,男,18,18333910345
张柳,2002070556,女,22,13982790362
赖莉,2002049845,男,22,14751576103
吴波,2002058260,男,19,17361069070
郭淑华,2002068311,女,22,15924822795
何萍,2002065465,男,20,13265198901
苏春梅,2002081499,女,20,13681699509
刘丽娟,2002098478,男,20,14974603461
陈亮,2002073608,男,22,17070724655
缪勇,2002049804,男,19,17739884706
陈磊,2002018576,女,19,13910363686
张阳,2002062574,男,22,14538240942
刘兵,2002082244,男,19,14590226930
谭超,2002045588,女,22,13381703926
覃雪,2002023184,女,21,17523142150
陈浩,2002055214,女,22,17237641642
李秀兰,2002011256,女,21,15068522245
郭璐,2002034538,男,22,13683958594
姚莹,2002078651,女,22,15994240694
葛东,2002063832,女,18,17699787958
袁宁,2002073705,女,18,13538550494
崔玉兰,2002016280,女,21,14935303406
倪欢,2002040148,男,21,17121549256
李峰,2002013660,男,20,14734706492
陈秀云,2002035727,女,21,15354281287
张峰,2002083825,男,18,15130230603
赖佳,2002030198,男,19,14754697962
杨倩,2002083447,男,22,18257918591
朱莉,2002070046,男,18,14972857337
段建华,2002041961,女,20,15794242437
赵云,2002010764,女,19,15021601606
魏磊,2002083566,女,18,17528748511
王萍,2002074080,女,18,17141866737
叶桂英,2002028766,女,18,17692740027
黄鑫,2002034276,女,20,15769943453
李建国,2002086512,男,18,17577943468
骆想,2002092201,女,21,18511199712
朱冬梅,2002047444,男,19,15798756963
廖秀兰,2002079864,男,21,18874498097
岳丽,2002055079,男,21,14544372161
董桂英,2002014026,男,22,13867982828
贾浩,2002085403,男,21,17580294965
张丽娟,2002067805,女,21,14717314162
张玉英,2002099932,男,18,15129717952
刘玲,2002083956,男,22,17679075644
刘秀梅,2002084320,男,22,14985211007
罗涛,2002094319,女,20,15664917784
刘玉英,2002068706,女,20,15777610402
刘莹,2002027470,女,19,14796911203
陈桂花,2002071502,女,21,17320949493
庄佳,2002070460,女,18,18142048500
赵柳,2002030096,女,18,13052733398
娄瑜,2002069390,女,21,18511306858
陈丽华,2002016420,女,20,17092414705
张霞,2002030623,女,19,18795758306
王霞,2002056312,女,20,18684035347
杨瑜,2002092526,女,22,14586490188
